Nation,Year,Divorces,Birth_Rate,N_repro_female,F_Employment_Rate,F_Mean_Income,F_Median_Income,Fertility_Rate,Gdp,Employment_Gender_Gap,Closing_Housing_Price,M_Employment_Rate,M_Mean_Income,M_Median_Income,Marriages,Mean_Age_Childbearing,Population,Demand_For_Family,AVG_female_population,AVG_population_male,percentage_female_work_home,percentage_male_work_home,consumer_price_harmonized_index,F_mean_age_marriage,senior_position_woman,tertiary_ed_f,tertiary_ed_m,parliament_female,Perc_female_married_in_repro_age,Tot_f_married_in_repro_age
AT,2019,-0.37920331884916253,-0.4028181297886421,-0.4021040080714738,0.6981273407340931,1.169620306258574,1.1744333772096656,-0.5232463229648461,-0.14930178996575444,-0.1300587339918625,0.5114999748178971,0.8539316512138226,1.1562168907275925,1.1537733697106278,-0.3020341355245367,0.6548450950028317,-0.3881834618095669,-0.43842289541480955,-0.3911659515504122,-0.384990905694387,0.5589749081482168,0.7087110310289793,0.602876895032834,0.8305765439849001,0.9350106477972148,0.059244648312372424,0.6739556558350137,1.0273667963700515,0.8202618698666809,-0.38417832526746637
AT,2020,-0.4158150290696571,-0.5450182031132442,-0.40508796739209385,0.47843691882476225,1.256588910246411,1.2755648468452878,-0.6256714980418574,-0.17079294584416446,-0.1971487220495661,0.8753079533296818,0.4739897978481441,1.2458251188913907,1.2326464371348933,-0.3708753535011844,0.658296565831585,-0.38651673575705675,-0.38668721996127436,-0.38966881241211065,-0.38314634139793424,1.320331031481478,1.297107848951583,0.7837796104187844,,0.9536884473936433,0.04034618333148983,0.6620424064980686,1.1154867530362367,0.8697904566037172,-0.38595727787807926
AT,2021,,-0.4509363364186847,-0.4084987124622568,0.563872082900613,1.3048285417706678,1.3513328448188413,-0.42082114788783476,-0.1386026741747609,-0.16360372802071446,1.5551216584123846,0.6294205560431951,1.2616328334630835,1.3021322830804622,,0.6341362700303214,-0.3847602761045454,-0.360819382234505,-0.38829586927297705,-0.3809877418552594,1.2827331982304524,1.1901266093292915,1.1398078194872059,,1.2431943411382866,,,1.2917266663686082,0.9399700634290242,-0.3876652055560164
AT,2022,,-0.48469089927856435,-0.41167554811478346,0.8201775751281651,1.375030932362879,1.4054989029446157,-0.7793092606573745,-0.08311748425285369,-0.2977837041361215,1.8828042709535906,0.8539316512138226,1.3540471648052887,1.3549864214061667,,0.7307774532353789,-0.3808779557352645,-0.30908370678097347,-0.3845829465810327,-0.3769277411484372,1.207537531728402,1.109890679612573,2.318508707615643,,1.1124497439632866,0.21988160064987816,0.828827897215299,1.2721444537761222,1.0049619346848215,-0.3892932301846933
BE,2009,0.032318368080578815,1.1721554096096127,-0.28832446858769273,-0.6932453313583278,0.3726859057928017,0.4197626229255634,1.4228320034983684,-0.21628447796940173,0.4402061644986174,-0.910525794751236,-0.5276750882977339,0.40193635637178027,0.43024307073848556,-0.3315390580440321,-0.4979461618003713,-0.30171740099759103,-1.8352861326602368,-0.3035465115128937,-0.2997325543691982,0.1735971173252081,0.3521068989546739,-1.4669465976743155,,-1.2783086043795728,0.32382315804473477,0.5429099131286187,1.1154867530362367,1.2212120561350255,-0.2540107091997064
BE,2010,-0.06124489137179622,1.238228170952358,-0.2883869555202759,-0.6200151907218844,0.41474851132919643,0.4275006312292455,1.5252571785753797,-0.19425322440225168,0.3898886734553399,-0.8054338210186438,-0.475864835566051,0.42157907862062954,0.4533029843709357,-0.343898498308515,-0.3900876984018679,-0.2972468270283025,-1.7318147817531702,-0.2992890303519221,-0.2950384760213136,0.2675917004527712,0.45017303527510766,-1.2111245759164064,,-1.0074805102313584,0.38996778547782485,0.769261650530574,1.0175756900738084,0.8990356719190901,-0.26483165363007627
BE,2011,-0.09613845370064579,1.040728069112631,-0.2884113254239833,-0.6322202141612918,0.44592778536316735,0.4745735150766446,1.2691942408828512,-0.1772972500462773,0.3227986853976363,-0.6908543774351931,-0.5622152567855233,0.43878984478152605,0.4911579753339402,-0.3564091904643465,-0.3003494568543138,-0.2908099187422466,-1.6542112685728656,-0.29374445907040425,-0.2876658563134366,0.3427873669548217,0.6017297914066877,-0.8350052939270979,,-0.9701249110385012,0.29547546057340984,0.566736411802509,1.0665312215550227,0.5843753319636704,-0.2753603600562074
BE,2012,-0.1309309485064574,0.942337109287023,-0.2884121585830844,-0.607810167282477,0.4550462522976305,0.4982174293378953,1.2179816533443455,-0.16380551461015122,0.23893620032550686,-0.6310103368374671,-0.6140255095172062,0.46077098634571456,0.5301353514737454,-0.34347715375404403,-0.18041084555517858,-0.2877119665829306,-1.6024755931193342,-0.2908269548997453,-0.2843786521719201,0.3615862835803343,0.59281468810483,-0.5305567847001249,,-0.7833469150742153,0.4561124129109156,0.49525691578083886,1.1448600719249657,0.18809826883587677,-0.28858912368858997
BE,2013,-0.16309568771328253,0.7606370155944745,-0.2886062846536427,-0.5589900735248484,0.5845677019796292,0.6298710428380413,1.0131313031903229,-0.1549422815403792,0.10475622421009965,-0.5908710413146024,-0.683105846492785,0.6049111529432228,0.6818614203739817,-0.3904084548981993,-0.042352012405094105,-0.2853445605195516,-1.550739917665799,-0.2885596066480803,-0.28190629463603634,0.41798303345687227,0.6552204112178334,-0.38203788873511796,,-0.4284687227420722,0.38996778547782485,0.49525691578083886,1.1056956467399945,-0.1993438470920242,-0.30170876047128853
BE,2014,-0.1772956747001134,0.678764246104551,-0.28921574053610355,-0.46134988600959126,0.6070207012053503,0.6515804550233715,0.9107061281133115,-0.14156105067297234,-0.14683123100628862,-0.5664225613143119,-0.8039964362000467,0.6222154558767329,0.6759433894417599,-0.3685417528918065,0.06464358328622327,-0.2831046041394322,-1.550739917665799,-0.28644025348697805,-0.2795398477511739,0.5589749081482168,0.7354563409345523,-0.322955183710077,,0.10384856575614246,,,1.242771134887394,-0.5772961363085779,-0.31489128391312704
